Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
107 AVENUE,,,14,0,0,1
EAST 168 STREET,,,14,0,0,1
EAST 183 STREET,,,14,0,0,1
36 STREET,,,14,0,0,1
EAST 173 STREET,,,14,0,0,1
LINDEN STREET,,,13,0,0,1
36 AVENUE,,,13,0,0,1
STORY AVENUE,,,13,0,0,1
KOREAN WAR VETS PARKWAY,,,13,0,0,1
110 AVENUE,,,13,0,0,1
170 STREET,,,13,0,0,1
49 STREET,,,13,0,0,1
59 STREET,,,13,0,0,1
MC GUINNESS BOULEVARD,,,13,0,0,1
EAST 37 STREET,,,13,0,0,1
WEST 142 STREET,,,13,0,0,1
EAST 156 STREET,,,13,0,0,1
CASTLETON AVENUE,,,13,0,0,1
SENECA AVENUE,,,13,0,0,1
ROCKLAND AVENUE,,,13,0,0,1
WEST 143 STREET,,,13,0,0,1
46 AVENUE,,,13,0,0,1
155 STREET,,,13,0,0,1
212 STREET,,,13,0,0,1
66 STREET,,,13,0,0,1
BAILEY AVENUE,,,13,0,0,1
MANOR ROAD,,,13,0,0,1
MONTGOMERY STREET,,,13,0,0,1
TIFFANY STREET,,,13,0,0,1
EAST 57 STREET,,,13,0,0,1
WEST 179 STREET,,,13,0,0,1
SHERIDAN AVENUE,,,13,0,0,1
149 STREET,,,13,0,0,1
AUDUBON AVENUE,,,13,0,0,1
WEST 134 STREET,,,13,0,0,1
WEST 230 STREET,,,13,0,0,1
BROOME STREET,,,13,0,0,1
VALENTINE AVENUE,,,13,0,0,1
WEST 41 STREET,,,13,0,0,1
19 STREET,,,13,0,0,1
BROOK AVENUE,,,13,0,0,1
BRONX PARK EAST,,,13,0,0,1
LEWIS AVENUE,,,13,0,0,1
COOPER AVENUE,,,12,0,0,1
WEST 30 STREET,,,12,0,0,1
STERLING PLACE,,,12,0,0,1
PARK AVENUE SOUTH,,,12,0,0,1
NELSON AVENUE,,,12,0,0,1
54 STREET,,,12,0,0,1
39 AVENUE,,,12,0,0,1
120 STREET,,,12,0,0,1
SOUTH AVENUE,,,12,0,0,1
EAST 175 STREET,,,12,0,0,1
HUDSON STREET,,,12,0,0,1
ROSEDALE AVENUE,,,12,0,0,1
GARRISON AVENUE,,,12,0,0,1
