Street,Avg_Latitude,Avg_Longitude,Total_Incidents,Avg_Congestion,Max_Congestion,Total_Injured,Point_Count
63 DRIVE,40.729424,-73.860785,8,0.04,0.06,0,6
EAST 10 STREET,40.716141,-73.982201,11,0.04,0.06,0,9
HART STREET,40.700172,-73.92745,15,0.04,0.06,0,11
51 AVENUE,40.740455,-73.885969,12,0.03,0.06,0,11
CLIFTON PLACE,40.68871,-73.95499,2,0.06,0.06,0,1
WEST 109 STREET,40.80028,-73.95935,3,0.04,0.06,0,2
POST AVENUE,40.863833,-73.922005,5,0.05,0.06,0,3
VOORHIES AVENUE,40.586874,-73.943337,7,0.03,0.06,0,6
RICHMOND HILL ROAD,40.580964,-74.155129,5,0.04,0.06,0,4
LINDEN PLACE,40.770673,-73.833159,5,0.04,0.06,0,4
10 STREET,40.713161,-73.985298,6,0.04,0.06,0,4
174 STREET,40.73803,-73.7949,2,0.06,0.06,0,1
56 ROAD,40.735094,-73.865115,4,0.04,0.06,0,3
EAST 237 STREET,40.898097,-73.859405,5,0.04,0.06,0,4
GURLEY AVENUE,40.5595,-74.1667,2,0.06,0.06,0,1
HYLAN BLVD,40.570402,-74.117122,9,0.03,0.06,0,8
ANDERSON AVENUE,40.833047,-73.926551,9,0.04,0.06,0,7
BRUCKNER BLVD,40.81956,-73.880571,12,0.03,0.06,0,11
W 125 ST,40.80937,-73.949272,4,0.04,0.06,0,3
WEST 5 STREET,40.578254,-73.972332,3,0.04,0.06,0,2
JERSEY STREET,40.640521,-74.087794,6,0.04,0.06,0,4
CLEVELAND STREET,40.671101,-73.882335,3,0.04,0.06,0,2
158 AVENUE,40.660776,-73.840795,3,0.04,0.06,0,2
114 STREET,40.715885,-73.839991,14,0.04,0.06,0,10
62 DRIVE,40.733128,-73.859048,7,0.04,0.06,0,5
WEST 52 STREET,40.764139,-73.986625,3,0.04,0.06,0,2
BARD AVENUE,40.626699,-74.10701,4,0.04,0.06,0,3
MERRICK BLVD,40.67763,-73.74995,3,0.04,0.06,0,2
BRIELLE AVENUE,40.589066,-74.138626,2,0.06,0.06,0,1
WEST 54 STREET,40.764836,-73.984394,8,0.04,0.06,0,6
RIDGEWOOD PLACE,40.676761,-73.973237,4,0.04,0.06,0,3
CRUGER AVENUE,40.874214,-73.866104,2,0.06,0.06,0,1
WALTON AVENUE,40.840621,-73.915097,19,0.04,0.06,0,15
EAST 176 STREET,40.845846,-73.900967,14,0.04,0.06,0,11
ASHLAND PLACE,40.690078,-73.978665,6,0.04,0.06,0,4
MURDOCK AVENUE,40.700535,-73.750739,14,0.04,0.06,0,10
WEST 116 STREET,40.801941,-73.949498,3,0.04,0.06,0,2
111 ROAD,40.705982,-73.73956,2,0.06,0.06,0,1
GRANDVIEW AVENUE,40.71068,-73.909078,7,0.03,0.06,0,6
188 STREET,37.591124,-68.102679,15,0.03,0.06,0,13
STRAUSS STREET,40.65743,-73.913448,4,0.06,0.06,0,2
BROAD STREET,40.624582,-74.079298,7,0.03,0.06,0,6
HAMMERSLEY AVENUE,40.871787,-73.841902,6,0.04,0.06,0,4
EAST 100 STREET,40.739139,-73.929213,7,0.03,0.06,0,6
WEST 73 STREET,40.778518,-73.979309,5,0.04,0.06,0,4
147 STREET,40.744994,-73.814439,15,0.03,0.06,0,13
108 AVENUE,40.696504,-73.7914,4,0.04,0.06,0,3
GRANT HIGHWAY,40.840773,-73.922228,8,0.03,0.06,0,7
WEST 100 STREET,40.796026,-73.96709,7,0.05,0.06,0,4
97 STREET,40.73616,-73.86322,11,0.03,0.06,0,10
EAST 117 STREET,40.79875,-73.939829,10,0.04,0.06,0,8
VAN BRUNT STREET,40.679582,-74.010446,6,0.04,0.06,0,5
71 AVENUE,40.718498,-73.840905,6,0.04,0.06,0,5
BELLAMY LOOP,40.873695,-73.824394,2,0.06,0.06,0,1
CHAUNCEY STREET,40.684782,-73.908314,6,0.04,0.06,0,4
EAST 63 STREET,40.748058,-73.956788,11,0.03,0.06,0,10
EAST 74 STREET,40.770009,-73.957153,4,0.04,0.06,0,3
104 STREET,40.703299,-73.845242,9,0.03,0.06,0,8
NEW UTRECHT AVENUE,37.915753,-69.06449,17,0.03,0.06,0,15
VANDUZER STREET,40.622103,-74.084124,10,0.03,0.06,0,9
CHARLES STREET,40.734276,-74.007287,4,0.04,0.06,0,3
BANK STREET,40.709646,-73.969958,4,0.04,0.06,0,3
EAST 143 STREET,40.814182,-73.923575,3,0.04,0.06,0,2
WEST 16 STREET,30.514704,-55.495399,6,0.04,0.06,0,4
PARK CIRCLE,40.650982,-73.971843,4,0.04,0.06,0,3
DONGAN AVENUE,40.6777,-73.999993,3,0.04,0.06,0,2
LAMONT AVENUE,40.744854,-73.87354,3,0.04,0.06,0,2
171 STREET,40.71305,-73.787432,8,0.03,0.06,0,7
PATCHEN AVENUE,40.684714,-73.926426,11,0.04,0.06,0,9
CHRISTIE AVENUE,40.740621,-73.864853,4,0.04,0.06,0,3
246 STREET,40.698278,-73.72792,3,0.04,0.06,0,2
HOME STREET,40.828156,-73.901885,3,0.04,0.06,0,2
HUNTERS POINT AVENUE,40.738383,-73.931788,8,0.04,0.06,0,6
WEST 176 STREET,40.847426,-73.923616,8,0.03,0.06,0,7
EAST 118 STREET,40.799735,-73.940217,4,0.04,0.06,0,3
WEST 105 STREET,40.798904,-73.964175,5,0.04,0.06,0,4
EAST 123 STREET,40.802524,-73.937077,4,0.04,0.06,0,3
LIVINGSTON STREET,40.689346,-73.985021,11,0.04,0.06,0,8
FORT HAMILTON PARKWAY,40.635234,-74.002182,22,0.03,0.06,0,20
MAYDA ROAD,40.659411,-73.741015,3,0.04,0.06,0,2
BATH AVENUE,40.598601,-73.997559,7,0.03,0.06,0,6
GREENWICH STREET,40.717809,-74.010933,7,0.03,0.06,0,6
NORTH RAILROAD AVENUE,40.57215,-74.118387,6,0.04,0.06,0,5
LEFFERTS BLVD,40.66612,-73.82224,2,0.06,0.06,0,1
AMSTERDAM AVE,40.824062,-73.948462,6,0.04,0.06,0,5
ELTON STREET,40.67443,-73.882918,8,0.03,0.06,0,7
SHEPHERD AVENUE,40.678303,-73.88162,3,0.04,0.06,0,2
89 AVENUE,40.709348,-73.79405,18,0.03,0.06,0,16
WYONA STREET,40.670142,-73.892489,5,0.04,0.06,0,4
EAST MOUNT EDEN AVENUE,40.843236,-73.910465,7,0.03,0.06,0,6
WOOLLEY AVENUE,40.60769,-74.140895,4,0.06,0.06,0,2
52 STREET,40.660094,-73.972342,10,0.04,0.06,0,8
STUYVESANT AVENUE,40.671015,-73.959209,12,0.04,0.06,0,9
BAY 8 STREET,40.607379,-74.01494,4,0.04,0.06,0,3
EAST 230 STREET,40.890116,-73.854683,4,0.04,0.06,0,3
STERLING PLACE,40.672049,-73.939753,12,0.04,0.06,0,10
SEA BREEZE AVENUE,40.57558,-73.969925,2,0.06,0.06,0,1
WEST 115 STREET,40.804878,-73.958602,5,0.04,0.06,0,4
184 PLACE,40.711957,-73.776228,5,0.04,0.06,0,4
FRANKLIN STREET,40.731018,-73.95775,8,0.05,0.06,0,5
EAST 187 STREET,40.856128,-73.888449,15,0.03,0.06,0,13
ZULETTE AVENUE,40.842661,-73.829572,3,0.04,0.06,0,2
JACKSON MILL ROAD,40.758995,-73.87459,2,0.06,0.06,0,1
WEST 19 STREET,33.951938,-61.665895,7,0.03,0.06,0,6
EAST 111 STREET,40.795372,-73.943806,6,0.04,0.06,0,4
EAST 61 STREET,40.732992,-73.954515,7,0.04,0.06,0,5
169 STREET,40.74002,-73.792729,6,0.04,0.06,0,5
KNAPP STREET,40.591097,-73.932347,3,0.04,0.06,0,2
95 AVENUE,40.692067,-73.829176,12,0.03,0.06,0,11
EAST 79 STREET,40.754142,-73.950544,10,0.04,0.06,0,7
NEW JERSEY AVENUE,40.664517,-73.891023,3,0.04,0.06,0,2
EAST 115 STREET,40.797436,-73.940964,6,0.04,0.06,0,5
EAST 54 STREET,40.687684,-73.942926,11,0.04,0.06,0,8
AVENUE D,38.89775,-70.727337,25,0.03,0.06,0,23
EAST 198 STREET,40.868418,-73.88852,7,0.04,0.06,0,5
AVENUE V,40.59761,-73.949841,5,0.04,0.06,0,4
RIVINGTON STREET,40.719714,-73.987172,7,0.03,0.06,0,6
THIERIOT AVENUE,40.83503,-73.865025,3,0.04,0.06,0,2
190 STREET,40.70406,-73.766374,7,0.04,0.06,0,5
CONVENT AVENUE,40.820292,-73.949187,10,0.03,0.06,0,9
175 STREET,40.70725,-73.784079,8,0.03,0.06,0,7
JEWETT AVENUE,40.627344,-74.13063,4,0.06,0.06,0,2
EAST 221 STREET,40.883488,-73.857338,4,0.04,0.06,0,3
CROSS BRONX EXTENTION,40.823865,-73.823902,7,0.03,0.06,0,6
LEGGETT AVENUE,40.813381,-73.897437,4,0.04,0.06,0,3
224 STREET,40.709069,-73.734794,6,0.04,0.06,0,4
HUDSON STREET,40.72617,-74.007525,12,0.03,0.06,0,11
EVERGREEN AVENUE,40.700368,-73.919196,23,0.04,0.06,0,19
WEST 66 STREET,40.774496,-73.983683,4,0.04,0.06,0,3
EASTCHESTER ROAD,40.863674,-73.844314,18,0.03,0.06,0,16
TRANSVERSE ROAD NUMBER THREE,40.782581,-73.964373,4,0.04,0.06,0,3
WEST 167 STREET,40.83769,-73.92715,6,0.04,0.06,0,4
EAST 139 STREET,40.809575,-73.921842,7,0.03,0.06,0,6
VANLOON STREET,40.737145,-73.87941,4,0.04,0.06,0,3
CONDUIT BOULEVARD,37.286857,-67.711907,14,0.03,0.06,0,12
EAGLE AVENUE,40.815975,-73.91102,2,0.06,0.06,0,1
EAST 131 STREET,40.809189,-73.937077,4,0.06,0.06,0,2
CRANFORD AVENUE,40.821362,-73.915544,5,0.04,0.06,0,4
EAST 13 STREET,40.693926,-73.977639,9,0.04,0.06,0,7
REVIEW AVENUE,40.733042,-73.936261,5,0.04,0.06,0,4
WADSWORTH TERRACE,40.85738,-73.92973,2,0.06,0.06,0,1
SCOTT AVENUE,40.710251,-73.9229,4,0.04,0.06,0,3
COHANCY STREET,40.666277,-73.834923,3,0.04,0.06,0,2
MC GUINNESS BLVD SOUTH,40.721249,-73.94544,4,0.04,0.06,0,3
23 AVENUE,40.735315,-73.882938,19,0.03,0.06,0,17
PENFIELD STREET,40.904552,-73.847824,2,0.06,0.06,0,1
EASTBURN AVENUE,40.84601,-73.908375,3,0.04,0.06,0,2
NORMAN AVENUE,40.726093,-73.949751,4,0.04,0.06,0,3
124 STREET,40.680139,-73.816853,7,0.03,0.06,0,6
WALTHAM STREET,40.693894,-73.803072,6,0.04,0.06,0,5
E 86 ST,40.780857,-73.95882,2,0.06,0.06,0,1
EBBITTS STREET,40.563145,-74.10787,2,0.06,0.06,0,1
BRIGHTON 6 STREET,40.579153,-73.96197,4,0.04,0.06,0,3
EAST 4 STREET,40.654028,-73.975943,9,0.03,0.06,0,8
DECATUR STREET,40.689059,-73.914542,10,0.04,0.06,0,8
AQUEDUCT AVENUE,40.860439,-73.906086,5,0.04,0.06,0,4
CORLEAR AVENUE,40.882349,-73.905483,3,0.04,0.06,0,2
RIVER AVENUE,40.827128,-73.926225,8,0.04,0.06,0,6
5 STREET,40.696079,-73.972975,4,0.04,0.06,0,3
148 STREET,40.725211,-73.814947,7,0.03,0.06,0,6
W 202 ST,40.86131,-73.921234,2,0.06,0.06,0,1
WEST 33 STREET,40.693608,-73.996549,10,0.03,0.06,0,9
EAST 28 STREET,40.695453,-73.967735,11,0.03,0.06,0,10
COOPER SQUARE,40.72857,-73.991135,2,0.06,0.06,0,1
TILLARY ST,40.696033,-73.98453,2,0.06,0.06,0,1
EAST 53 STREET,40.675388,-73.93869,14,0.03,0.06,0,13
PELHAM PKWY,40.856606,-73.826454,2,0.06,0.06,0,1
WEST 79 STREET,40.784282,-73.980348,9,0.05,0.06,0,6
WOOD AVENUE,40.7273,-73.989063,4,0.04,0.06,0,3
158 STREET,40.714412,-73.794961,8,0.03,0.06,0,7
232 STREET,40.69151,-73.7299,2,0.06,0.06,0,1
TUDOR CITY PLACE,40.748405,-73.97094,2,0.06,0.06,0,1
BRADHURST AVENUE,40.824523,-73.941992,3,0.04,0.06,0,2
AVENUE Y,40.590495,-73.951024,14,0.03,0.06,0,12
BAINBRIDGE AVENUE,40.873677,-73.883339,8,0.04,0.06,0,6
MAIN AVENUE,40.77204,-73.93224,2,0.06,0.06,0,1
138 STREET,40.732361,-73.824208,10,0.03,0.06,0,9
WEST 107 STREET,40.801076,-73.965135,4,0.04,0.06,0,3
233 STREET,40.701894,-73.737028,7,0.03,0.06,0,6
WEST 28 STREET,40.709785,-73.995851,10,0.03,0.06,0,9
PAYSON AVENUE,40.86795,-73.92701,2,0.06,0.06,0,1
EAST 158 STREET,40.823645,-73.918402,7,0.03,0.06,0,6
SOUTH RAILROAD AVENUE,40.568559,-74.122463,5,0.04,0.06,0,4
BLOOMINGDALE ROAD,40.538869,-74.218303,4,0.04,0.06,0,3
106 STREET,40.737303,-73.855813,5,0.04,0.06,0,4
HOYT AVENUE NORTH,40.772325,-73.919404,6,0.04,0.06,0,5
27 AVENUE,40.738697,-73.886537,7,0.03,0.06,0,6
FRAME PLACE,40.755745,-73.83076,2,0.06,0.06,0,1
DOUGLASTON PARKWAY,40.757465,-73.741707,6,0.04,0.06,0,5
131 STREET,40.69308,-73.813807,8,0.03,0.06,0,7
120 ROAD,40.686319,-73.759457,3,0.04,0.06,0,2
WEST 21 STREET,40.576483,-73.988,4,0.04,0.06,0,3
JEWEL AVENUE,40.729403,-73.821344,7,0.03,0.06,0,6
EAST 205 STREET,40.87354,-73.877562,3,0.04,0.06,0,2
94 STREET,40.733099,-73.877986,18,0.03,0.06,0,16
SHERMAN AVENUE,36.767179,-66.530723,11,0.03,0.06,0,10
WADSWORTH AVENUE,40.851755,-73.9333,7,0.03,0.06,0,6
BAILEY AVENUE,40.876304,-73.903408,13,0.04,0.06,0,10
LINWOOD STREET,40.671553,-73.881287,6,0.04,0.06,0,5
EAST 83 STREET,40.683188,-73.924202,4,0.04,0.06,0,3
TOPPING AVENUE,40.845601,-73.905698,4,0.04,0.06,0,3
JEFFERSON AVENUE,40.675753,-73.943469,8,0.03,0.06,0,7
WAVERLY PLACE,40.731877,-73.9977,4,0.04,0.06,0,3
AVENUE K,40.628182,-73.929557,24,0.03,0.06,0,22
LUDLOW STREET,40.720074,-73.988365,2,0.06,0.06,0,1
36 STREET,40.716187,-73.949878,14,0.04,0.06,0,10
VYSE AVENUE,40.835109,-73.886963,3,0.04,0.06,0,2
BRONX PARK AVENUE,40.8399,-73.87562,2,0.06,0.06,0,1
WEST 168 STREET,40.840063,-73.936128,8,0.04,0.06,0,6
EAST 14 STREET,40.683696,-73.975526,15,0.03,0.06,0,13
DITMAS AVE,40.638915,-73.959865,6,0.04,0.06,0,5
EAST 181 STREET,36.766144,-66.504354,12,0.04,0.06,0,10
116 STREET,40.693906,-73.830475,5,0.04,0.06,0,4
GOETHALS ROAD NORTH,40.623953,-74.173294,4,0.04,0.06,0,3
140 STREET,40.700363,-73.807929,5,0.04,0.06,0,4
WILLETS POINT BOULEVARD,40.778468,-73.808784,7,0.03,0.06,0,6
POWELL STREET,30.500508,-55.427526,7,0.05,0.06,0,4
EAST 239 STREET,40.900039,-73.85312,4,0.04,0.06,0,3
DUFFIELD STREET,40.695616,-73.983829,3,0.04,0.06,0,2
WEST 70 STREET,40.777257,-73.982533,5,0.04,0.06,0,4
LEFFERTS AVENUE,40.662597,-73.946854,5,0.04,0.06,0,4
EAST 151 STREET,40.818982,-73.921058,11,0.04,0.06,0,9
162 STREET,40.746776,-73.803461,9,0.04,0.06,0,7
EDSON AVENUE,40.877094,-73.837329,5,0.04,0.06,0,4
109 STREET,40.685875,-73.833815,4,0.04,0.06,0,3
CEBRA AVENUE,40.631583,-74.082735,3,0.04,0.06,0,2
85 DRIVE,40.709373,-73.81014,2,0.06,0.06,0,1
MERRIAM AVENUE,40.841492,-73.925317,4,0.04,0.06,0,3
BRIGHTON 4 STREET,40.579185,-73.96401,2,0.06,0.06,0,1
HOFFMAN DRIVE,40.733223,-73.871398,4,0.04,0.06,0,3
EAST 196 STREET,40.868099,-73.893481,7,0.03,0.06,0,6
JORALEMON STREET,40.692995,-73.9941,3,0.04,0.06,0,2
BEACH 102 STREET,40.58388,-73.82305,2,0.06,0.06,0,1
8 STREET,40.77421,-73.93182,2,0.06,0.06,0,1
EAST 35 STREET,40.705865,-73.964316,11,0.04,0.06,0,9
241 STREET,40.662679,-73.739191,6,0.04,0.06,0,5
127 AVENUE,40.680229,-73.771553,3,0.04,0.06,0,2
SHORE BOULEVARD,40.784098,-73.917385,3,0.04,0.06,0,2
MC GUINNESS BOULEVARD,37.028444,-67.228269,13,0.04,0.06,0,11
GOLD STREET,33.918225,-61.659984,7,0.03,0.06,0,6
40 STREET,40.661447,-73.983841,7,0.03,0.06,0,6
EAST 88 STREET,40.658351,-73.914343,9,0.03,0.06,0,8
20 STREET,40.660583,-73.990644,7,0.03,0.06,0,6
98 STREET,40.717771,-73.856096,9,0.03,0.06,0,8
BORINQUEN PLACE,40.710424,-73.956748,6,0.04,0.06,0,5
ASTOR AVENUE,40.859352,-73.845441,5,0.04,0.06,0,4
VERMILYEA AVENUE,40.866608,-73.921031,7,0.04,0.06,0,5
EUCLID AVENUE,40.673483,-73.871541,7,0.03,0.06,0,6
SHORE FRONT PARKWAY,40.585844,-73.80808,3,0.04,0.06,0,2
WEST 13 STREET,40.691398,-73.996732,4,0.04,0.06,0,3
PROSPECT PARK WEST,40.665062,-73.976536,8,0.03,0.06,0,7
212 STREET,40.73084,-73.75566,13,0.03,0.06,0,12
135 PLACE,40.67447,-73.8027,2,0.06,0.06,0,1
EAST 113 STREET,40.79507,-73.93919,2,0.06,0.06,0,1
W 135 ST,40.815308,-73.9437,2,0.06,0.06,0,1
NAMEOKE STREET,40.6028,-73.74879,2,0.06,0.06,0,1
EAST 52 STREET,40.708176,-73.951208,10,0.04,0.06,0,7
EAST 77 STREET,40.70471,-73.937599,3,0.04,0.06,0,2
CLARKE AVENUE,40.567802,-74.140106,4,0.04,0.06,0,3
RUST STREET,40.722249,-73.913427,3,0.04,0.06,0,2
WEST 151 STREET,40.828662,-73.943995,5,0.04,0.06,0,4
SKILLMAN AVENUE,40.74129,-73.931173,15,0.03,0.06,0,13
51 STREET,40.667424,-73.979268,14,0.03,0.06,0,12
WOODRUFF AVENUE,40.654263,-73.961277,3,0.04,0.06,0,2
69 ROAD,40.723886,-73.844237,4,0.04,0.06,0,3
CHESTNUT AVENUE,40.618353,-73.960585,4,0.06,0.06,0,2
COLFAX STREET,40.703969,-73.745235,3,0.04,0.06,0,2
112 STREET,40.726177,-73.844089,8,0.03,0.06,0,7
217 STREET,34.910578,-63.213056,8,0.03,0.06,0,7
EAST 141 STREET,40.806363,-73.910172,6,0.04,0.06,0,5
KOSCIUSZKO STREET,40.69153,-73.943494,5,0.04,0.06,0,4
REMSEN STREET,40.693604,-73.99275,2,0.06,0.06,0,1
STOCKHOLM STREET,40.702839,-73.91949,9,0.05,0.06,0,6
BEACH 21 ST,40.602245,-73.75415,2,0.06,0.06,0,1
WEST 32 STREET,40.690254,-73.99093,4,0.04,0.06,0,3
LONGWOOD AVENUE,40.81665,-73.896782,8,0.05,0.06,0,5
SOUTH ROAD,40.699013,-73.79573,2,0.06,0.06,0,1
PROSPECT PARK SOUTHWEST,40.655679,-73.97393,3,0.04,0.06,0,2
JENNINGS STREET,40.832012,-73.890113,6,0.04,0.06,0,4
W FORDHAM RD,40.862413,-73.908094,6,0.04,0.06,0,5
SOUTH 1 STREET,40.712866,-73.958854,5,0.04,0.06,0,4
AINSLIE STREET,40.71273,-73.94928,4,0.04,0.06,0,3
234 STREET,40.69422,-73.734208,5,0.04,0.06,0,4
93 STREET,40.706282,-73.891123,7,0.03,0.06,0,6
FROST STREET,40.718319,-73.944523,3,0.04,0.06,0,2
7 AVENUE SOUTH,40.733053,-74.003119,7,0.03,0.06,0,6
DECATUR AVENUE,27.247668,-49.252987,4,0.04,0.06,0,3
VARICK AVENUE,40.717223,-73.931407,3,0.04,0.06,0,2
FORBELL STREET,40.67154,-73.862369,6,0.04,0.06,0,4
WEST 17 STREET,40.676327,-73.995767,6,0.04,0.06,0,5
EAST 37 STREET,40.703333,-73.961927,13,0.04,0.06,0,10
BEACH 94 STREET,40.586723,-73.81708,3,0.04,0.06,0,2
WEST 37 STREET,40.728927,-73.994028,8,0.03,0.06,0,7
43 STREET,40.716477,-73.942857,17,0.04,0.06,0,13
MARTIN LUTHER KING JR,40.622167,-74.149824,7,0.03,0.06,0,6
MAYFAIR DRIVE SOUTH,40.609653,-73.91145,2,0.06,0.06,0,1
ANDREWS AVENUE,40.782777,-73.912235,3,0.04,0.06,0,2
KEAP STREET,40.708446,-73.955863,4,0.04,0.06,0,3
GARDNER AVENUE,40.711608,-73.925304,5,0.04,0.06,0,4
SHARROTTS ROAD,40.53691,-74.22503,2,0.06,0.06,0,1
EAST 7 STREET,40.660728,-73.971909,6,0.04,0.06,0,5
FILLMORE AVENUE,40.611996,-73.9316,7,0.03,0.06,0,6
ALABAMA AVENUE,40.66617,-73.896266,8,0.04,0.06,0,6
PULASKI BRIDGE,40.73919,-73.952242,4,0.04,0.06,0,3
95 STREET,40.696857,-73.903776,5,0.04,0.06,0,4
WEST 6 STREET,40.588012,-73.97587,4,0.04,0.06,0,3
BARRETTO STREET,40.816497,-73.891023,4,0.04,0.06,0,3
DEPOT PLACE,40.84126,-73.92805,2,0.06,0.06,0,1
MACOMBS ROAD,40.845216,-73.917028,5,0.04,0.06,0,4
EAST 136 STREET,40.805048,-73.917398,6,0.04,0.06,0,5
WEST 12 STREET,40.663629,-73.991669,7,0.03,0.06,0,6
VANDALIA AVENUE,40.652424,-73.88056,3,0.04,0.06,0,2
MARKET STREET,40.712998,-73.99448,3,0.04,0.06,0,2
REID AVENUE,40.673525,-73.948483,10,0.04,0.06,0,8
BRUSH AVENUE,40.822997,-73.839794,6,0.04,0.06,0,5
135 ROAD,40.66771,-73.80912,2,0.06,0.06,0,1
E 125 ST,40.802252,-73.932393,4,0.06,0.06,0,2
ROSEWOOD STREET,40.873258,-73.869297,3,0.04,0.06,0,2
MACDONOUGH STREET,40.682238,-73.933062,7,0.04,0.06,0,5
EAST 70 STREET,40.76651,-73.957,4,0.04,0.06,0,3
BOWNE STREET,40.756988,-73.820395,5,0.04,0.06,0,4
WEST 8 STREET,40.614523,-73.982287,7,0.03,0.06,0,6
EAST 40 STREET,40.691392,-73.956452,5,0.04,0.06,0,4
SHORE ROAD,40.769983,-73.901373,6,0.04,0.06,0,5
131 AVENUE,40.676013,-73.773906,5,0.04,0.06,0,4
VANDERVORT AVENUE,40.721376,-73.936512,6,0.04,0.06,0,5
BOOTH MEMORIAL AVENUE,40.74555,-73.821987,12,0.03,0.06,0,11
EAST 148 STREET,40.81539,-73.91877,4,0.04,0.06,0,3
WEST 31 STREET,40.650197,-73.995548,9,0.04,0.06,0,7
68 AVENUE,40.724434,-73.838035,6,0.04,0.06,0,5
LOCUST AVENUE,40.597915,-74.038972,5,0.04,0.06,0,4
WEEKS AVENUE,40.846783,-73.907394,2,0.06,0.06,0,1
69 STREET,40.7318,-73.89415,20,0.03,0.06,0,19
EAST 193 STREET,40.862953,-73.89066,2,0.06,0.06,0,1
58 AVENUE,32.589134,-59.064135,6,0.04,0.06,0,5
VAN SICLEN AVENUE,40.664465,-73.886823,10,0.04,0.06,0,8
SKILLMAN STREET,40.692716,-73.956747,5,0.05,0.06,0,3
VERRAZANO BRIDGE LOWER,40.639022,-74.022464,2,0.06,0.06,0,1
ARCHER AVENUE,40.703285,-73.797423,4,0.04,0.06,0,3
EAST 22 STREET,40.683407,-73.969567,10,0.03,0.06,0,9
31 AVENUE,40.76031,-73.897114,25,0.03,0.06,0,23
E 62 ST,40.761011,-73.959475,3,0.04,0.06,0,2
ONDERDONK AVENUE,40.705816,-73.910314,11,0.04,0.06,0,9
SANFORD AVENUE,40.756963,-73.824751,7,0.03,0.06,0,6
TRINITY AVENUE,40.821712,-73.90646,2,0.06,0.06,0,1
133 AVENUE,40.673994,-73.786758,22,0.03,0.06,0,20
OLMSTEAD AVENUE,40.831955,-73.854213,5,0.04,0.06,0,4
ATLANTIC AVE,40.680168,-73.921329,12,0.03,0.06,0,11
W 22 ST,40.74702,-74.004654,2,0.06,0.06,0,1
EAST 26 STREET,40.688414,-73.968085,9,0.03,0.06,0,8
TUDOR PLACE,40.834067,-73.919155,3,0.04,0.06,0,2
TERRACE PLACE,40.654003,-73.979935,2,0.06,0.06,0,1
EAST 234 STREET,40.89417,-73.856964,2,0.06,0.06,0,1
159 STREET,40.733274,-73.796906,8,0.03,0.06,0,7
AVENUE W,40.594628,-73.952766,16,0.03,0.06,0,15
EAST 57 STREET,40.721737,-73.952942,13,0.04,0.06,0,9
223 STREET,33.933533,-61.447897,7,0.03,0.06,0,6
DRUMGOOLE RD W,40.561523,-74.17185,2,0.06,0.06,0,1
122 AVENUE,40.681309,-73.772691,7,0.03,0.06,0,6
WEST 24 STREET,40.661283,-73.996601,5,0.04,0.06,0,4
EAST 203 STREET,40.873592,-73.88506,2,0.06,0.06,0,1
WHITNEY AVENUE,40.72293,-73.885318,9,0.04,0.06,0,7
EAST 99 STREET,40.730978,-73.928431,6,0.04,0.06,0,5
SHORE ROAD DRIVE,40.638495,-74.0244,3,0.04,0.06,0,2
CLINTON STREET,40.691181,-74.002356,9,0.03,0.06,0,8
TRAVIS AVENUE,40.593858,-74.16571,3,0.04,0.06,0,2
HINSDALE STREET,40.657869,-73.897105,4,0.04,0.06,0,3
17 STREET,40.664872,-73.993226,5,0.05,0.06,0,3
LAWRENCE STREET,40.745337,-73.833433,4,0.04,0.06,0,3
GRAND VIEW PLACE,40.836105,-73.917435,2,0.06,0.06,0,1
123 STREET,40.703198,-73.824672,7,0.03,0.06,0,6
HOYT STREET,40.682749,-73.990404,5,0.04,0.06,0,4
WEST 129 STREET,40.812355,-73.948465,8,0.03,0.06,0,7
EAST 182 STREET,40.851207,-73.889028,6,0.04,0.06,0,5
EMMONS AVENUE,40.58355,-73.946981,10,0.03,0.06,0,9
W 30 ST,40.749629,-73.995168,4,0.04,0.06,0,3
HOLLIS COURT BOULEVARD,27.146091,-49.167303,4,0.04,0.06,0,3
EAST 121 STREET,40.801329,-73.93815,3,0.04,0.06,0,2
44 DRIVE,40.747814,-73.945885,6,0.04,0.06,0,5
MIDDLETOWN ROAD,40.844918,-73.830122,5,0.04,0.06,0,4
WEST 214 STREET,40.869316,-73.91674,2,0.06,0.06,0,1
GARRETSON AVENUE,40.58618,-74.08989,2,0.06,0.06,0,1
SACKETT STREET,40.682671,-73.99453,3,0.04,0.06,0,2
BOSCOMBE AVENUE,40.524612,-74.230446,2,0.06,0.06,0,1
31 ROAD,40.768352,-73.87269,6,0.04,0.06,0,5
132 STREET,36.184834,-65.617727,10,0.03,0.06,0,9
OXFORD PLACE,40.634533,-74.0867,2,0.06,0.06,0,1
WEST 177 STREET,40.847723,-73.92974,5,0.04,0.06,0,4
WEST 231 STREET,40.878804,-73.904354,5,0.04,0.06,0,4
WEST 4 STREET,40.689697,-73.993536,10,0.03,0.06,0,9
SHAKESPEARE AVENUE,40.841778,-73.921167,6,0.04,0.06,0,5
46 AVENUE,40.754076,-73.81641,13,0.04,0.06,0,11
WEST 191 STREET,40.855556,-73.92918,2,0.06,0.06,0,1
195 STREET,40.71866,-73.767983,5,0.04,0.06,0,4
112 AVENUE,40.702934,-73.754547,6,0.04,0.06,0,5
WEST 50 STREET,40.762064,-73.985576,9,0.05,0.06,0,6
WEST 212 STREET,40.868057,-73.91758,3,0.04,0.06,0,2
