Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
E 183 ST,,,4,0,0,1
MAJOR DEEGAN EXPRESSWAY RAMP,,,4,0,0,1
PELHAM PKWY S,,,4,0,0,1
46 ST,,,4,0,0,1
MORRIS AVE,,,4,0,0,1
82 ST,,,4,0,0,1
W 155 ST,,,4,0,0,1
E 35 ST,,,4,0,0,1
AVENUE J,,,4,0,0,1
COLUMBIA ST,,,4,0,0,1
THOMAS S BOYLAND ST,,,4,0,0,1
SHORE PKWY,,,4,0,0,1
W 43 ST,,,4,0,0,1
HOWARD AVE,,,4,0,0,1
34 AVE,,,4,0,0,1
94 ST,,,4,0,0,1
80 ST,,,4,0,0,1
FLATLANDS AVE,,,4,0,0,1
18 AVE,,,4,0,0,1
E 62 ST,,,4,0,0,1
146 ST,,,4,0,0,1
BRUCKNER EXPY,,,4,0,0,1
E 161 ST,,,4,0,0,1
AVENUE OF THE AMERICAS,,,4,0,0,1
SNYDER AVE,,,4,0,0,1
HARMAN ST,,,4,0,0,1
6 AVE,,,4,0,0,1
AVENUE N,,,4,0,0,1
CASTLE HILL AVE,,,4,0,0,1
12 AVE,,,4,0,0,1
PENNSYLVANIA AVE,,,4,0,0,1
THROGS NECK EXPY,,,4,0,0,1
41 AVE,,,4,0,0,1
W HOUSTON ST,,,4,0,0,1
GRAND CONC,,,4,0,0,1
SCHENECTADY AVE,,,4,0,0,1
NEW YORK AVE,,,4,0,0,1
ALBANY AVE,,,4,0,0,1
GUY R BREWER BLVD,,,4,0,0,1
W 34 ST,,,4,0,0,1
W 31 ST,,,4,0,0,1
NEW UTRECHT AVE,,,3,0,0,1
E 61 ST,,,3,0,0,1
AMBOY RD,,,3,0,0,1
39 ST,,,3,0,0,1
W 41 ST,,,3,0,0,1
SOUTHERN BLVD,,,3,0,0,1
W 36 ST,,,3,0,0,1
W 170 ST,,,3,0,0,1
50 ST,,,3,0,0,1
RICHMOND AVE,,,3,0,0,1
BROOKVILLE BOULEVARD,,,3,0,0,1
MCDONALD AVE,,,3,0,0,1
32 AVE,,,3,0,0,1
E 86 ST,,,3,0,0,1
CLARENDON RD,,,3,0,0,1
YELLOWSTONE BLVD,,,3,0,0,1
VAN WYCK EXPY,,,3,0,0,1
E 7 ST,,,3,0,0,1
FLATBUSH AVENUE EXT,,,3,0,0,1
75 ST,,,3,0,0,1
KNICKERBOCKER AVE,,,3,0,0,1
44 ST,,,3,0,0,1
EXTERIOR STREET,,,3,0,0,1
JAY ST,,,3,0,0,1
VICTORY BLVD,,,3,0,0,1
E 167 ST,,,3,0,0,1
FRANCIS LEWIS BLVD,,,3,0,0,1
WILLIAMSBURG BRIDGE OUTER ROADWA,,,3,0,0,1
DELANCEY ST,,,3,0,0,1
BARNES AVE,,,3,0,0,1
E 169 ST,,,3,0,0,1
20 AVE,,,3,0,0,1
BURKE AVE,,,3,0,0,1
ALLERTON AVE,,,3,0,0,1
CLEARVIEW EXPY,,,3,0,0,1
AVENUE I,,,3,0,0,1
116 AVE,,,3,0,0,1
69 AVE,,,3,0,0,1
PEARL ST,,,3,0,0,1
WINTHROP ST,,,3,0,0,1
E 60 ST,,,3,0,0,1
21 AVE,,,3,0,0,1
RIVERDALE AVE,,,3,0,0,1
BROOKLYN AVE,,,3,0,0,1
NEW ENGLAND THRUWAY,,,3,0,0,1
GLENWOOD RD,,,3,0,0,1
COLLEGE POINT BOULEVARD,,,3,0,0,1
BELT PARKWAY RAMP,,,3,0,0,1
LOTT AVE,,,3,0,0,1
BRONX PARK E,,,3,0,0,1
WASHINGTON AVE,,,3,0,0,1
W 145 ST,,,3,0,0,1
TODT HILL RD,,,3,0,0,1
E 180 ST,,,3,0,0,1
WEST ST,,,3,0,0,1
W 37 ST,,,3,0,0,1
FATHER CAPODANNO BLVD,,,3,0,0,1
FRANKLIN D ROOSEVELT DR,,,3,0,0,1
KNAPP STREET,,,3,0,0,1
W 135 ST,,,3,0,0,1
FREDERICK DOUGLASS BLVD,,,3,0,0,1
85 ST,,,3,0,0,1
W 57 ST,,,3,0,0,1
BRUCKNER BOULEVARD,,,3,0,0,1
DITMARS BLVD,,,3,0,0,1
BRONX RIVER PARKWAY RAMP,,,3,0,0,1
RANDALL AVE,,,3,0,0,1
74 ST,,,3,0,0,1
4 AVE,,,3,0,0,1
W 44 ST,,,3,0,0,1
103 AVE,,,3,0,0,1
STILLWELL AVE,,,3,0,0,1
WYCKOFF AVE,,,3,0,0,1
AVENUE Y,,,3,0,0,1
VANDERVOORT AVE,,,3,0,0,1
AVENUE O,,,3,0,0,1
ASTOR AVE,,,3,0,0,1
W BROADWAY,,,3,0,0,1
LENOX RD,,,3,0,0,1
BROOKLYN BATTERY TUNNEL,,,3,0,0,1
W 230 ST,,,3,0,0,1
AVENUE H,,,3,0,0,1
AVENUE U,,,3,0,0,1
LITTLE NECK PKWY,,,3,0,0,1
STEINWAY ST,,,3,0,0,1
98 ST,,,3,0,0,1
E 96 ST,,,3,0,0,1
SEAGIRT BLVD,,,3,0,0,1
SOUTH AVE,,,3,0,0,1
W 176 ST,,,3,0,0,1
FDR DRIVE RAMP,,,3,0,0,1
E 17 ST,,,3,0,0,1
W 19 ST,,,3,0,0,1
BROOKVILLE BLVD,,,3,0,0,1
33 ST,,,3,0,0,1
W 115 ST,,,3,0,0,1
W 65 ST,,,3,0,0,1
NEW DORP LN,,,3,0,0,1
76 ST,,,3,0,0,1
AVENUE S,,,3,0,0,1
BROOKLYN QUEENS EXPRESSWAY RAMP,,,3,0,0,1
W 181 ST,,,3,0,0,1
31 AVE,,,3,0,0,1
45 AVE,,,3,0,0,1
SPRINGFIELD BLVD,,,3,0,0,1
SLOSSON AVE,,,3,0,0,1
90 ST,,,3,0,0,1
BROOME ST,,,3,0,0,1
E 83 ST,,,3,0,0,1
E 59 ST,,,3,0,0,1
192 ST,,,3,0,0,1
RICHMOND TER,,,3,0,0,1
W 56 ST,,,3,0,0,1
E 57 ST,,,3,0,0,1
188 ST,,,3,0,0,1
14 AVE,,,3,0,0,1
LEFFERTS BLVD,,,3,0,0,1
ELIOT AVE,,,3,0,0,1
39 AVE,,,3,0,0,1
E 98 ST,,,2,0,0,1
WHITE ST,,,2,0,0,1
UNDERHILL AVE,,,2,0,0,1
E 12 ST,,,2,0,0,1
W 66 ST,,,2,0,0,1
COLUMBUS AVE,,,2,0,0,1
30 PL,,,2,0,0,1
SEAVIEW AVE,,,2,0,0,1
W 21 ST,,,2,0,0,1
UNION TURNPIKE,,,2,0,0,1
PAGE AVE,,,2,0,0,1
HALSEY ST,,,2,0,0,1
W 129 ST,,,2,0,0,1
CLARKSON AVE,,,2,0,0,1
HUTCHINSON RIVER PKWY E,,,2,0,0,1
85 AVE,,,2,0,0,1
OGDEN AVE,,,2,0,0,1
W 168 ST,,,2,0,0,1
34 ST,,,2,0,0,1
W 162 ST,,,2,0,0,1
TOMPKINS AVE,,,2,0,0,1
WILLIAMSBRIDGE RD,,,2,0,0,1
CROPSEY AVE,,,2,0,0,1
PRINCE ST,,,2,0,0,1
79 ST,,,2,0,0,1
KINGSLAND AVE,,,2,0,0,1
AVENUE L,,,2,0,0,1
43 AVE,,,2,0,0,1
81 ST,,,2,0,0,1
