Link_ID,Record_ID,Street_Segment_Name,Borough,Owner,Transcom_ID,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Code,Segment_Status_Label,Speed_Category,Point_Count,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Mid_Latitude,Mid_Longitude,Link_Points
4620315,186,CBE W L/LE V AMSTERDAM AVE - I 95 S LOC LNS,Bronx,PA-GWBridge,4620315,1.86,3183.0,2017-05-05T10:26:49.000,0,Normal,Severe congestion,13,40.846670,-73.931880,40.853621,-73.961920,40.851271,-73.950370,"40.846670,-73.931880 40.847331,-73.933501 40.848710,-73.936901 40.849350,-73.939880 40.849620,-73.941750 40.850120,-73.944620 40.851271,-73.950370 40.851720,-73.952830 40.852100,-73.955150 40.852950,-73.959570 40.853290,-73.960610 40.853520,-73.961420 40.853621,-73.961920"
4620332,190,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (L/LVL),Bronx,PA-GWBridge,4620332,14.91,284.0,2017-05-05T10:26:50.000,0,Normal,Heavy congestion,9,40.846710,-73.931941,40.845160,-73.909371,40.844860,-73.924710,"40.846710,-73.931941 40.846031,-73.930181 40.845390,-73.927530 40.845600,-73.925891 40.844860,-73.924710 40.844880,-73.923270 40.845131,-73.918850 40.845271,-73.913131 40.845160,-73.909371"
4620331,191,CBE W MORRIS AVE - GWB W AMSTERDAM AVE (U/LVL),Bronx,PA-GWBridge,4620331,14.91,288.0,2017-05-05T10:26:50.000,0,Normal,Heavy congestion,10,40.846541,-73.932021,40.845201,-73.910820,40.844821,-73.923691,"40.846541,-73.932021 40.846110,-73.930750 40.845271,-73.927260 40.844960,-73.925931 40.844821,-73.924811 40.844821,-73.923691 40.845010,-73.920410 40.845230,-73.915560 40.845240,-73.911980 40.845201,-73.910820"
4620310,195,CBE W U/LEV AMSTERDAM AVE - I95 S EXP LNS,Bronx,PA-GWBridge,4620310,29.2,280.0,2017-05-05T10:26:49.000,0,Normal,Moderate traffic,12,40.846530,-73.932031,40.853460,-73.961481,40.851160,-73.950370,"40.846530,-73.932031 40.847171,-73.933591 40.848590,-73.936960 40.849211,-73.939901 40.849550,-73.941791 40.850040,-73.944611 40.851160,-73.950370 40.851610,-73.952851 40.852031,-73.955211 40.852910,-73.959611 40.853241,-73.960660 40.853460,-73.961481"
4616250,295,HRP N LAFAYETTE AVENUE - E TREMONT AVENUE,Bronx,NYC_DOT_LIC,4616250,50.95,74.0,2017-05-05T10:26:51.000,0,Normal,Free flow,7,40.840640,-73.838310,40.824950,-73.836211,40.832610,-73.838040,"40.840640,-73.838310 40.838810,-73.838530 40.834630,-73.838390 40.832610,-73.838040 40.830660,-73.837521 40.828070,-73.836680 40.824950,-73.836211"
4456498,298,HRP S Lafayette Ave - BWB S Toll Plaza,Bronx,NYC_DOT_LIC,4456498,1.24,1466.0,2017-05-05T10:25:54.000,0,Normal,Severe congestion,7,40.825120,-73.836370,40.814790,-73.836680,40.821451,-73.836211,"40.825120,-73.836370 40.824420,-73.836290 40.822850,-73.836221 40.821451,-73.836211 40.818921,-73.836360 40.815260,-73.836690 40.814790,-73.836680"
4616228,354,I-87 NYST S Exit 1 - MDE S Van Cortlandt Park,Bronx,NYC_DOT_LIC,4616228,44.12,158.0,2014-03-21T15:24:27.000,0,Normal,Free flow,12,40.885940,-73.896760,40.907060,-73.878060,40.890750,-73.886441,"40.885940,-73.896760 40.886980,-73.895280 40.887620,-73.894070 40.888451,-73.891850 40.889191,-73.889041 40.889760,-73.887730 40.890750,-73.886441 40.893820,-73.883351 40.896621,-73.880650 40.897850,-73.879821 40.899281,-73.879331 40.907060,-73.878060"
4616255,338,MDE N RFK Bridge - 142nd St,Bronx,NYC_DOT_LIC,4616255,8.7,533.0,2017-05-05T10:21:49.000,0,Normal,Severe congestion,13,40.813760,-73.931280,40.803411,-73.915000,40.808260,-73.927901,"40.813760,-73.931280 40.812721,-73.931600 40.812110,-73.931690 40.811480,-73.931610 40.810910,-73.931261 40.810440,-73.930790 40.808260,-73.927901 40.807720,-73.926900 40.806530,-73.923971 40.805030,-73.920240 40.803791,-73.917471 40.803600,-73.916931 40.803411,-73.915000"
4575278,339,MDE N VAN CORTLAND PARK - NYST N EXIT 1 (MP.48),Bronx,NYC Thruway Tarrytown,4575278,37.9,234.0,2014-03-21T15:23:00.000,0,Normal,Free flow,12,40.885940,-73.896490,40.892180,-73.884670,40.889310,-73.888321,"40.885940,-73.896490 40.886810,-73.895261 40.887350,-73.894291 40.888051,-73.892640 40.888431,-73.891340 40.888930,-73.889351 40.889310,-73.888321 40.889751,-73.887490 40.890190,-73.886820 40.890730,-73.886181 40.891280,-73.885540 40.892180,-73.884670"
4620330,344,MDE S HARLEM RIVER PARK - GWB W AMSTERDAM AVENUE LOWER LEVEL,Bronx,NYC_DOT_LIC,4620330,16.16,281.0,2017-05-05T10:26:50.000,0,Normal,Heavy congestion,13,40.855130,-73.918650,40.845390,-73.925320,40.844261,-73.927411,"40.855130,-73.918650 40.852630,-73.920881 40.850000,-73.923291 40.846530,-73.926280 40.845250,-73.927030 40.844540,-73.927421 40.844261,-73.927411 40.844000,-73.927191 40.843870,-73.926810 40.843960,-73.926230 40.844380,-73.925340 40.844900,-73.925030 40.845390,-73.925320"
