Borough,Street_Segment_Name,Segment_Count,Average_Speed_MPH,Minimum_Speed_MPH,Maximum_Speed_MPH,Average_Travel_Time_Seconds,Latest_Data_As_Of,Representative_Latitude,Representative_Longitude,Most_Recent_Speed_Category
Queens,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd),1,19.88,19.88,19.88,172.0,2017-05-05T10:21:49.000,40.759242,-68.697331,Heavy congestion
Queens,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl),1,19.88,19.88,19.88,189.0,2017-05-05T10:21:49.000,40.767265,-68.696045,Heavy congestion
Queens,VWE S MP2.66 (Exit 2 Rockaway Blvd) - Belt Pkwy E 182nd St,1,42.87,42.87,42.87,248.0,2017-05-05T10:21:49.000,40.666871,-73.801278,Free flow
Queens,VWE S MP4.63 (Exit 6 Jamaica Ave) - MP2.66 (Exit 2 Roackaway Blvd),1,29.2,29.2,29.2,237.0,2017-05-05T10:21:49.000,40.691003,-73.810424,Moderate traffic
Queens,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave),1,36.04,36.04,36.04,249.0,2017-05-05T10:21:49.000,40.72355,-73.829126,Free flow
Queens,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave),1,9.94,9.94,9.94,515.0,2017-05-05T10:26:51.000,40.75683,-73.837888,Severe congestion
Queens,Whitestone Expwy N Exit 14 (Linden Pl) - BWB N Queens Anchorage,1,21.75,21.75,21.75,324.0,2017-05-05T10:25:54.000,40.779663,-73.826907,Moderate traffic
Queens,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd),1,9.94,9.94,9.94,632.0,2017-05-05T10:26:51.000,40.766087,-73.838504,Severe congestion
Staten Island,278 E BRUNSWICK AVENUE - SIE E SOUTH AVENUE,1,49.71,49.71,49.71,217.0,2014-12-03T12:26:11.000,40.63938,-74.203782,Free flow
Staten Island,278 E BRUNSWICK AVENUE - WSE S SOUTH AVENUE,1,37.9,37.9,37.9,315.0,2014-12-03T12:20:11.000,40.621535,-74.176978,Free flow
Staten Island,440 N FRANCIS STREET - WSE N TYRELLAN AVE,1,52.82,52.82,52.82,151.0,2017-05-05T10:21:49.000,40.524909,-74.230695,Free flow
Staten Island,MLK N WALKER STREET - NJ ROUTE 169,1,6.84,6.84,6.84,786.0,2017-03-14T14:59:10.000,40.643737,-74.140503,Severe congestion
Staten Island,MLK S - SIE E WALKER STREET - WOOLEY AVENUE,1,29.2,29.2,29.2,248.0,2017-01-07T19:08:40.000,40.626076,-74.1464,Moderate traffic
